id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
1 5.4127755 0.015041045 0.80240085 -0.20975554 -0.41060654 25 0 2223 4.3974748 -1.6080084
2 254.89445 2.1226079 0.97725774 -0.22492046 -0.30721822 25 0 517 1.0379007 -0.040389563
3 266.52492 15.878608 0.53261949 -0.28546731 -0.29192816 25 0 372 1.0233657 -0.025077184
4 304.18349 24.362432 0.6555025 0.061734484 -0.0020165089 25 0 550 1.3620822 -0.33550826
5 436.67269 27.506985 0.53883597 0.17436666 -0.12277743 25 0 15310 32.964647 -3.7951211
6 323.44063 46.037306 0.68379071 -0.70735628 -0.49851881 25 0 447 1.0478159 -0.050712426
7 155.78989 53.517939 0.57672918 -0.16552144 -0.05456858 25 0 765 1.6851528 -0.56659824
8 175.34973 54.481423 0.56831794 0.16009659 -0.10491529 25 0 1507 3.1413062 -1.2427757
9 293.81566 56.526844 0.38279387 0.094438962 -0.18621612 25 0 57921 138.03098 -5.3499414
10 80.729522 58.496882 0.6241943 -0.55009321 -0.10264876 25 0 3499 7.145722 -2.1351153
11 369.20634 60.290142 0.57248897 -0.46671329 -0.49854343 25 0 588 1.5174667 -0.4527979
12 439.86742 66.336334 0.59207804 -0.016032349 -0.14882156 25 0 434 1.2533058 -0.24514259
13 263.3607 67.123295 0.70835788 -0.32342986 -0.42100139 25 0 1226 2.3566235 -0.93072549
14 412.53972 74.020204 0.69003667 -0.37110591 -0.34317723 25 0 1068 2.2661394 -0.88821654
15 470.8687 76.296063 0.66081875 -0.1621165 -0.12398963 25 0 2478 5.2602834 -1.8025229
16 402.16716 80.768455 0.65953394 -0.33274019 -0.16835934 25 0 1206 2.7024466 -1.0793928
17 25.169286 84.400386 0.65935294 -0.15026754 -0.06937813 25 0 1125 2.3682918 -0.93608804
18 437.89499 89.379815 0.58650884 0.058777053 -0.025101488 25 0 533 1.3945013 -0.36104734
19 319.77844 93.431897 0.59212747 -0.47835802 -0.14618739 25 0 2113 4.5027409 -1.6336924
20 460.28397 100.43087 0.6246828 0.12500628 -0.099252699 25 0 14902 30.157258 -3.6984796
21 252.72593 107.58817 0.57191364 -0.21269971 -0.3415249 25 0 863 1.702644 -0.57780966
22 256.82296 109.28876 0.65495355 -0.70252035 -0.27559198 25 0 1110 2.0330799 -0.77038613
23 155.22234 110.33036 0.6492456 -0.18056673 -0.26930155 25 0 1394 2.6280227 -1.0490728
24 22.993282 114.18676 0.70373785 -0.28034258 -0.16923502 25 0 2881 5.5688798 -1.8644196
25 478.22446 116.94965 0.63704835 -0.26266325 -0.25232848 25 0 1441 3.3063647 -1.2983769
26 458.47723 120.3959 0.56965204 -0.50878898 -0.23099371 25 0 1239 2.9095312 -1.1595576
27 188.15429 127.43388 0.54883703 -0.36679219 -0.062763692 25 0 10718 22.45572 -3.3783175
28 205.57029 127.61789 0.55704614 0.039696497 -0.18887643 25 0 775 1.47556 -0.42239219
29 215.57454 129.08023 0.63533822 -0.44442801 -0.3445186 25 0 1473 2.8348609 -1.1313294
30 272.16772 128.87918 0.63497191 -0.32993496 -0.31325444 25 0 963 1.9842662 -0.74399984
31 119.56297 134.14072 0.6270501 -0.077428156 -0.35148201 25 0 1574 3.0683297 -1.2172551
32 486.68731 135.8682 0.66447395 -0.096628862 -0.16075945 25 0 1388 3.0693281 -1.2176083
33 143.45031 139.59655 0.55950928 -0.56767213 -0.17153568 25 0 1165 2.3391302 -0.92263598
34 363.31739 151.4102 0.61835686 -0.006291117 -0.16078014 25 0 8180 16.399335 -3.0370656
35 266.08547 156.87263 0.63602419 -0.49922143 -0.32385717 25 0 2386 4.6885327 -1.6775924
36 451.53865 163.5023 0.58372759 -0.68953726 -0.13829833 25 0 4705 9.7669555 -2.474398
37 353.24361 172.96736 0.66816662 -0.35969944 -0.28142218 25 0 40196 78.474421 -4.7368203
38 120.79291 179.9754 0.59874866 -0.69472153 -0.31299616 25 0 884 1.707857 -0.58112877
39 193.40305 185.08789 0.62506294 -0.26049601 -0.35265908 25 0 1443 2.7252807 -1.0885281
40 445.51507 184.79378 0.61533496 -0.018899172 -0.24116681 25 0 4602 9.5443207 -2.4493626
41 131.46337 185.64303 0.64491887 -0.56951955 -0.26304506 25 0 786 1.3551515 -0.3299696
42 119.82405 188.24745 0.65222012 -0.32368627 -0.21104928 25 0 1372 2.5708218 -1.0251799
43 82.388331 194.25866 0.67687987 0.15681779 -0.13825545 25 0 1466 2.6585182 -1.0615991
44 388.38708 194.10474 0.6908641 -0.22709205 -0.34163566 25 0 2152 4.1639119 -1.5487538
45 450.07016 195.96766 0.64683285 -0.11555567 -0.38377255 25 0 572 1.3776434 -0.34784202
46 194.19274 197.27106 0.58923873 -0.0084951693 -0.056901419 25 0 861 1.6328586 -0.53237142
47 388.77398 199.08728 0.56741126 -0.51477406 -0.21681817 25 0 599 1.3469623 -0.32338862
48 156.54935 199.83661 0.60420327 0.091280646 -0.16326664 25 0 643 1.1495312 -0.15130193
49 39.122611 200.60682 0.61950062 -0.24003667 -0.042329536 25 0 29423 60.339265 -4.4515
50 476.10627 214.79454 0.64373756 -0.21286843 -0.08249858 25 0 1208 2.701285 -1.078926
51 470.05252 220.88778 0.65774672 -0.30190139 -0.16266924 25 0 2391 4.9442783 -1.7352573
52 392.78737 226.99065 0.61748979 -0.43658506 -0.29723377 25 0 783 1.7244845 -0.59164823
53 293.4793 228.93403 0.59736784 -0.42804065 -0.38235658 25 0 1115 2.193075 -0.85263373
54 223.69899 230.84962 0.55849096 -0.10812625 -0.17305097 25 0 576 1.0696016 -0.073055145
55 117.92976 232.00735 0.74814301 -0.50756452 -0.3954944 25 0 982 1.6145918 -0.52015684
56 446.60594 235.80674 0.60067552 -0.25677803 -0.29569692 25 0 3038 6.3850683 -2.0129139
57 207.32293 237.57775 0.56027586 0.12257801 -0.072266365 25 0 1896 3.697972 -1.419909
58 319.29597 240.02438 0.67467919 -0.33182223 -0.29241112 25 0 3690 7.1488956 -2.1355974
59 389.39719 240.84067 0.65957416 -0.50693344 -0.30168865 25 0 10295 19.902044 -3.2472442
60 294.32259 242.22763 0.6559558 -0.17051055 -0.13160145 25 0 889 1.659015 -0.5496258
61 207.80158 249.3232 0.58104112 -0.29077316 -0.16899185 25 0 635 1.0730944 -0.07659486
62 398.56002 252.30832 0.63895241 -0.57481386 -0.27164932 25 0 1361 2.6978695 -1.0775523
63 171.38702 265.74732 0.62965186 -0.54782423 -0.23534845 25 0 3697 7.0920918 -2.1269359
64 395.40914 265.83449 0.62854982 -0.5793017 -0.29178442 25 0 5166 10.379094 -2.5403986
65 496.14081 267.22168 0.6256038 -0.4469158 -0.20409041 25 0 1101 2.5083602 -0.99847475
66 0.92920771 286.24561 0.70314171 -0.22848076 0.10202466 25 0 1293 2.4300959 -0.96405853
67 14.906207 295.46687 0.54430043 -0.36808429 -0.086959091 25 0 530 1.1439277 -0.14599648
68 315.07113 298.43931 0.60987834 -0.115563 -0.083153859 25 0 4089 8.2164733 -2.2867136
69 127.74999 299.36154 0.70110202 -0.60848918 -0.1920813 25 0 748 1.1659523 -0.16670199
70 6.6091172 300.38134 0.65456852 -0.43093634 -0.1377192 25 0 877 1.6445542 -0.54012048
71 34.692251 300.28658 0.64436277 -0.093882414 -0.079619225 25 0 944 1.930548 -0.71420152
72 18.375167 315.91269 0.66650011 -0.64421547 -0.26604601 25 0 1003 1.9592789 -0.73024064
73 161.47993 321.84513 0.54321225 -0.18038452 -0.25507496 25 0 639 1.2309957 -0.2256413
74 393.32072 322.25772 0.69002766 0.087036499 -0.19497299 25 0 796 1.5794128 -0.49623916
75 80.801562 326.47706 0.63648447 -0.42253542 -0.090762596 25 0 2419 4.5908779 -1.6547393
76 509.91565 336.75648 0.66877169 -0.44760475 -0.12456873 25 0 1220 2.5297873 -1.00771
77 20.160542 347.19642 0.71407149 -0.38472516 -0.13234667 25 0 850 1.5797373 -0.49646216
78 206.84261 347.25434 0.69771679 -0.32370255 -0.35399166 25 0 771 1.330267 -0.30984703
79 431.65085 354.12759 0.64424818 -0.21311886 -0.11831554 25 0 572 1.1556485 -0.15706442
80 182.876 363.25627 0.62627546 -0.31300859 -0.20158551 25 0 3891 7.6118832 -2.2037303
81 324.80572 364.97 0.47818762 -0.18845348 -0.18946258 25 0 683 1.6350479 -0.53382618
82 241.79923 367.49549 0.59916437 -0.55978502 -0.11420994 25 0 15713 31.297393 -3.7387704
83 357.50015 374.69501 0.67306248 -0.49945284 -0.23286374 25 0 1299 2.4078988 -0.95409557
84 169.08147 376.28173 0.58102254 -0.47097269 -0.25502758 25 0 1131 2.1815117 -0.84689389
85 221.2592 377.48334 0.59095441 -0.49031395 -0.10850989 25 0 1866 3.5969534 -1.389837
86 38.837336 378.48987 0.60558822 0.12998358 0.027936761 25 0 3396 6.9317902 -2.1021135
87 370.58204 378.94687 0.65497463 0.074573052 -0.22676273 25 0 877 1.7122924 -0.5839448
88 442.45197 381.29244 0.6038011 -0.065162854 -0.20459856 25 0 6223 12.927066 -2.7787499
89 308.94544 392.08264 0.69115734 -0.33913712 -0.2156614 25 0 2879 5.4745599 -1.845873
90 18.040508 392.69217 0.66233184 -0.18101812 -0.075033582 25 0 2803 5.57727 -1.8660542
91 87.685467 398.82664 0.64086184 0.10417559 -0.19741912 25 0 1071 1.9977653 -0.75136114
92 427.50701 401.25682 0.64894676 -0.66731846 -0.18751315 25 0 1479 3.023226 -1.2011766
93 398.32401 401.53826 0.59162464 -0.71274692 -0.14397565 25 0 1565 3.2807853 -1.2899445
94 189.68691 409.01057 0.66912978 -0.33849632 -0.3123081 25 0 6073 11.644124 -2.6652671
95 218.79572 416.39115 0.5248346 0.079384972 0.010119108 25 0 524 1.0629036 -0.066234669
96 216.29405 420.26362 0.61344945 -0.10518269 -0.16373204 25 0 1458 2.8313413 -1.1299806
97 503.06103 422.83419 0.69392039 -0.32780122 -0.1322019 25 0 1865 3.7754395 -1.4424188
98 48.276068 425.135 0.63305304 0.14601883 -0.24969728 25 0 702 1.4429708 -0.39814383
99 72.261734 426.61561 0.64532141 -0.24022347 -0.10468948 25 0 1656 3.1923896 -1.2602897
100 122.87883 444.93346 0.6951017 -0.28204504 -0.26838675 25 0 1795 3.3086064 -1.2991127
101 96.589349 445.79578 0.57003631 -0.51985582 -0.34599387 25 0 737 1.4648709 -0.41449836
102 196.20075 448.34868 0.67021901 -0.087529547 -0.18104561 25 0 909 1.644734 -0.5402392
103 454.94278 448.64494 0.28217384 -0.26052008 -0.14174262 25 0 57501 140.57785 -5.3697922
