id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
1 311.8423 2.4436229 0.51395634 0.32713905 -0.14322133 25 0 577 1.9254766 -0.71134561
2 320.91851 4.94616 0.64933638 0.28067771 -0.20141318 25 0 366 1.2036979 -0.20129372
3 443.50853 5.8684637 0.56302385 0.053346705 -0.23282763 25 0 407 1.6032225 -0.51248451
4 123.66111 9.929168 0.62586188 0.11722939 -0.27690659 25 0 513 1.5975047 -0.50860534
5 349.44936 11.165966 0.66898183 0.24576679 -0.22637196 25 0 812 2.4035235 -0.95212095
6 38.97648 11.938491 0.70796187 0.1045831 -0.081959633 25 0 16155 45.052363 -4.1342939
7 422.75065 14.411872 0.58384442 -0.082816663 -0.062603036 25 0 558 1.9970683 -0.75098231
8 482.03215 14.208951 0.68809763 0.23369147 -0.054055907 25 0 28847 80.501807 -4.7645141
9 368.6677 32.703208 0.60620124 0.53025904 -0.041390549 25 0 543 1.7607743 -0.6142592
10 468.27266 32.868427 0.7249401 -0.052381717 -0.1343331 25 0 323 1.1584146 -0.15966006
11 141.31867 35.426675 0.59834395 0.61491634 -0.16382716 25 0 388 1.2226973 -0.21829738
12 128.06968 39.629258 0.61696801 0.26453418 0.022677767 25 0 494 1.4521276 -0.40501197
13 201.2325 40.521675 0.52098037 0.0038606265 0.069353877 25 0 1039 3.351973 -1.3132513
14 220.51361 41.439706 0.62166506 -0.31785128 -0.082894358 25 0 2027 5.5879682 -1.8681348
15 361.2751 42.649099 0.57442059 -0.20046799 -0.16478521 25 0 398 1.3088009 -0.29218394
16 81.011364 43.779625 0.66055133 0.11313935 -0.045837757 25 0 547 1.7181856 -0.58767519
17 264.29279 44.089722 0.64109061 0.048181606 -0.50371672 25 0 345 1.0204941 -0.0220262
18 339.03757 43.479421 0.33166022 0.12695939 -0.12578628 25 0 58606 199.82414 -5.7516199
19 125.91098 45.657797 0.62606609 0.24580764 -0.037045258 25 0 5063 14.704443 -2.9186215
20 168.74983 46.203897 0.64410375 0.57061956 -0.20511537 25 0 372 1.0518487 -0.054883204
21 414.65865 47.056358 0.67258267 -0.07954719 -0.30780608 25 0 1011 2.9533414 -1.1757841
22 261.58105 52.541869 0.64154633 0.14842736 -0.23225457 25 0 373 1.022951 -0.024637035
23 485.14851 52.893165 0.65896151 0.40853167 -0.0072758334 25 0 778 2.5841159 -1.03078
24 308.79942 54.037851 0.62487274 0.055356406 -0.14128957 25 0 1633 4.7687399 -1.6960091
25 457.73528 60.653996 0.56593029 0.47367044 -0.053342056 25 0 1304 4.262321 -1.5741154
26 12.278324 64.544823 0.57658162 -0.10601248 0.36596393 25 0 337 1.2681384 -0.25791661
27 363.80386 64.798754 0.56178374 0.33907214 0.023839716 25 0 298 1.0399257 -0.042505809
28 45.961477 66.829225 0.63947233 0.054613685 -0.0095888756 25 0 653 2.0116781 -0.75889624
29 69.15025 66.490818 0.5534076 -0.48236091 0.13575791 25 0 342 1.1327565 -0.1353414
30 183.92761 66.951983 0.6957909 0.10124476 0.026012351 25 0 418 1.0995695 -0.10305675
31 447.42015 67.456968 0.60527307 -0.23593806 -0.076261735 25 0 1300 3.9724545 -1.4976473
32 486.1449 68.250775 0.53742408 0.41224043 -0.20934823 25 0 293 1.2815331 -0.26932455
33 12.426302 68.638701 0.64870652 -0.36024651 0.032317849 25 0 395 1.1960559 -0.19437866
34 126.85443 68.399457 0.54659008 0.17599945 0.098950251 25 0 396 1.3179283 -0.29972942
35 432.54261 69.187784 0.54087529 0.32100876 -0.33558608 25 0 472 1.7352965 -0.59843422
36 70.337404 71.591323 0.59238609 -0.14085093 -0.052803066 25 0 1433 4.3128322 -1.5869064
37 483.17036 76.033609 0.67672995 0.44273263 -0.013678093 25 0 963 2.8667703 -1.1434822
38 365.18759 80.162977 0.63369104 0.21311754 -0.12225887 25 0 3482 10.049975 -2.5054124
39 134.23528 83.430638 0.6231074 0.32760854 -0.10514038 25 0 484 1.3192302 -0.30080146
40 106.53795 87.007605 0.54629359 -0.0932681 -0.30233245 25 0 551 1.7121067 -0.58382709
41 159.1529 87.173378 0.678983 0.029131019 -0.34286707 25 0 437 1.1192729 -0.12233998
42 505.55521 86.985213 0.649017 0.10703768 -0.16103775 25 0 21621 62.000659 -4.4809908
43 169.50978 93.767442 0.67946108 -0.31798633 -0.35981894 25 0 583 1.518953 -0.45386085
44 298.27505 94.543229 0.56647281 0.19459422 -0.066303407 25 0 1120 3.2611545 -1.2834284
45 302.0908 96.194368 0.62234633 -0.16079135 -0.1388436 25 0 1507 4.2052481 -1.5594791
