id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
1 353.18797 1.6566908 0.82719408 0.34255443 0.041978898 25 0 452.96579 1.528683 -0.46079356
2 475.42283 2.341228 0.64326621 0.2666705 -0.092498124 25 0 633.66422 2.7040108 -1.080021
3 1.7452437 7.3075159 0.75087727 0.26178146 0.074441374 25 0 1039.8962 4.1123415 -1.5352229
4 10.023256 7.3306866 0.78656694 -0.040274544 0.13998318 25 0 643.94561 2.4628313 -0.97858666
5 155.75149 6.7455733 0.63905571 -0.0082658646 0.060707811 25 0 608.94157 2.7892294 -1.1137106
6 381.64074 7.7425988 0.67413096 -0.46609631 -0.11101088 25 0 820.55032 3.4457768 -1.3432179
7 70.866531 8.9041389 0.79165716 0.037693831 0.05475486 25 0 19455.622 75.358261 -4.6928272
8 18.36632 10.513693 0.73590924 -0.41986825 0.10115323 25 0 5933.8681 23.064206 -3.4073463
9 454.96315 10.852945 0.78660544 0.17648941 0.11164932 25 0 981.33742 3.6425064 -1.4035008
10 0.53570578 12.126512 0.70749424 -0.20915428 -0.06280294 25 0 3978.0217 16.338307 -3.0330176
11 472.12901 12.27217 0.90359668 0.16418859 0.064537399 25 0 428.94578 1.4158163 -0.37751729
12 58.97535 13.594744 0.71728912 -0.36047493 0.081596209 25 0 268.25526 1.2210983 -0.2168766
13 380.75844 16.10198 0.65641091 -0.24988965 -0.041809601 25 0 389.05702 1.7924227 -0.6336011
14 381.9356 21.225814 0.6905991 -0.11890218 0.20162831 25 0 287.06984 1.2615535 -0.25226414
15 23.908797 22.800154 0.66536474 0.24268757 0.51207873 25 0 298.58559 1.3365167 -0.31493595
16 259.59368 26.114049 0.71268648 -0.022256358 0.028341239 25 0 388.32872 1.5883652 -0.50237591
17 321.76265 27.31382 0.4912077 0.097574083 -0.11392009 25 0 191.34994 1.1716888 -0.17203073
18 471.54046 28.613831 0.57508376 -0.038039443 0.2214212 25 0 232.66146 1.2127456 -0.20942428
19 400.72303 29.236318 0.76834271 -0.22012232 -0.12509276 25 0 701.11608 2.6662994 -1.0647723
20 500.37797 29.243997 0.6784009 0.285347 -0.1264472 25 0 471.72382 1.9656659 -0.73377424
21 173.12239 32.138834 0.70071514 -0.048441533 -0.036973617 25 0 506.41658 2.1312357 -0.82157872
22 160.07065 36.347209 0.73511256 0.36558424 0.073936133 25 0 707.60545 2.8335336 -1.1308209
23 233.0953 37.38388 0.72228517 0.14636393 0.093106343 25 0 1476.4012 6.0145396 -1.948006
24 252.47783 38.189038 0.69686079 -0.38616632 -0.15229037 25 0 2590.5419 10.400875 -2.5426746
25 465.52678 37.530348 0.58686924 0.30815232 0.16091317 25 0 287.89906 1.3112574 -0.29421988
26 393.11008 39.173695 0.78312678 0.20365115 0.065140124 25 0 653.76727 2.4274371 -0.96286996
27 436.64405 39.731812 0.53662297 0.065947393 0.048690592 25 0 232.06391 1.0972517 -0.1007657
