id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
1 4.481896 -0.0064896662 0.89595499 -0.59857074 -0.7323681 25 0 1206.1732 2.3381759 -0.92219293
2 266.29298 15.416215 0.6135112 0.38970033 -0.23557441 25 0 470.46405 1.3655966 -0.3383061
3 303.51615 23.975122 0.74275843 -0.2286352 -0.32538512 25 0 549.19635 1.2951287 -0.28078235
4 509.6147 24.924189 0.64705105 -0.05596999 -0.39229454 25 0 412.37196 1.066912 -0.070321469
5 376.88072 27.231085 0.65453138 -0.32498768 -0.17232005 25 0 579.56804 1.5608035 -0.48337058
6 436.12972 27.188231 0.6951783 -0.21731697 -0.25447199 25 0 22420.783 49.911767 -4.2455074
7 322.89192 45.399166 0.44245076 -0.17567451 0.028148429 25 0 261.07246 1.0067136 -0.0072648905
8 82.338657 52.03462 0.74649382 -0.34728191 -0.43598699 25 0 484.72548 1.0761162 -0.079647888
9 155.46924 53.148686 0.62840336 -0.24082733 -0.42315157 25 0 878.7535 2.1497816 -0.83098583
10 174.81701 54.061931 0.65385478 -0.34050681 -0.30463544 25 0 1950.8575 4.7038277 -1.6811285
11 35.320417 56.126835 0.66031086 -0.11715752 -0.25385782 25 0 412.80923 1.0251691 -0.026988719
12 293.44057 56.233126 0.40425799 -0.12372565 -0.22029098 25 0 56894.487 149.05055 -5.433334
13 80.200079 58.133384 0.67523376 -0.37335571 -0.34938382 25 0 4101.5975 9.3331092 -2.4250659
14 368.90524 59.929401 0.73658807 -0.53557133 -0.35817064 25 0 865.53983 2.0369123 -0.77243084
15 439.1984 65.917461 0.74476937 -0.44874251 -0.51499041 25 0 673.88357 1.5332087 -0.46400322
16 262.95239 66.748082 0.6551184 -0.31396112 -0.27618337 25 0 1144.4997 2.7561868 -1.1007716
17 411.89443 73.622497 0.56671955 -0.15153295 -0.1425573 25 0 960.58352 2.6118332 -1.0423636
18 470.42273 75.909032 0.69001846 -0.29893747 -0.27160827 25 0 2841.4988 6.4663691 -2.0266512
19 0.32623163 79.001721 0.53494522 -0.090034085 -0.3639397 25 0 356.69054 1.1062853 -0.10966781
20 401.45693 80.42887 0.57948741 -0.76277932 -0.35230229 25 0 970.2291 2.5928236 -1.0344324
21 386.88325 82.079109 0.64291364 -0.24070538 -0.3329442 25 0 377.47827 1.0735937 -0.077099868
22 24.533474 83.957885 0.69197517 -0.54462979 -0.37879148 25 0 1194.6887 2.7457727 -1.0966614
23 437.29534 89.049896 0.64908904 -0.33864576 -0.21542802 25 0 718.15754 1.8976262 -0.69552667
24 319.23889 93.003628 0.66272064 -0.44451891 -0.36856344 25 0 2398.7655 5.6393849 -1.8780793
25 459.65885 99.994956 0.68649459 -0.32119257 -0.30377115 25 0 18001.317 40.229098 -4.0113507
26 252.39689 107.20636 0.59388411 -0.30936785 -0.3555817 25 0 876.00733 2.2018623 -0.85697541
27 256.36909 108.8829 0.64188849 -0.67730549 -0.52961193 25 0 1040.9066 2.5089066 -0.99871122
28 154.5097 109.82306 0.6554384 -0.35353648 -0.44845184 25 0 1135.6044 2.4220175 -0.9604432
29 22.492034 113.80068 0.67147 -0.754941 -0.41555793 25 0 2504.4875 5.4895731 -1.8488464
30 477.70421 116.52131 0.63206993 -0.43511554 -0.00083735222 25 0 1429.0247 3.3881761 -1.3249149
31 457.95874 119.91673 0.74675215 -0.22538919 -0.19349248 25 0 1893.1565 4.1297609 -1.5398123
32 187.68946 127.04095 0.67304368 -0.42460727 -0.31789571 25 0 13885.918 31.132603 -3.7330386
33 205.0231 127.28135 0.6684654 0.18347284 -0.048733299 25 0 796.34222 1.7430223 -0.60325737
34 271.85445 128.43973 0.60615738 -0.56922063 -0.1994463 25 0 759.61015 1.9183063 -0.70729488
35 215.11952 128.56379 0.59744714 -0.44940558 -0.14622366 25 0 1238.7414 2.9619199 -1.1789333
36 19.638017 131.98006 0.72448813 -0.76132502 -0.9804834 25 0 458.43259 1.0491999 -0.05214557
37 119.03307 133.74847 0.60060862 -0.61233474 -0.30871496 25 0 1475.431 3.5329871 -1.3703551
38 486.24395 135.41701 0.66883072 -0.089416637 -0.23872163 25 0 1365.2497 3.0815687 -1.2219296
39 142.90812 139.24459 0.63279801 -0.41566672 -0.27816326 25 0 1360.6508 3.1680102 -1.2519664
40 362.72851 150.94378 0.63888719 -0.36017005 -0.35200689 25 0 9070.2459 20.986378 -3.3048437
41 265.70025 156.39553 0.59542497 -0.63091208 -0.17970978 25 0 2026.4297 4.8819802 -1.72149
