id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
1 352.06871 1.8169027 0.75417638 0.36173977 0.18185687 25 0 412 1.0953328 -0.098865208
2 474.66166 2.0352164 0.6229052 -0.04234673 -0.15913726 25 0 537 1.7550238 -0.6107075
3 155.04612 6.4974804 0.67702867 0.044743158 0.1586662 25 0 581 1.5240878 -0.45752493
4 0.92015285 6.8218355 0.78373949 0.27711095 0.060070661 25 0 982 2.4621307 -0.97827777
5 9.4314823 6.9869603 0.63506658 -0.026429315 -0.11150152 25 0 423 1.4648233 -0.41446307
6 380.66631 7.4603415 0.60557013 -0.40868228 0.20623598 25 0 730 2.1187428 -0.81519559
7 70.09137 8.473793 0.74680798 -0.0011663102 0.26725432 25 0 16306 39.194489 -3.9830625
8 17.555889 10.114916 0.71337417 -0.2246733 -0.052580405 25 0 5985 15.090402 -2.946752
9 454.11614 10.543049 0.62160553 0.43758921 0.3093466 25 0 593 1.8019373 -0.63934921
10 0.046895327 11.643694 0.90882927 0.20476576 0.42975053 25 0 3545 7.8747193 -2.2405877
11 258.64793 25.913179 0.74867242 -0.11516183 0.0086227516 25 0 440 1.0417284 -0.044386271
12 399.82602 28.87947 0.68590979 -0.099272662 0.095225369 25 0 678 1.8249008 -0.65309816
13 499.41663 28.920858 0.72092565 -0.16242362 -0.35411016 25 0 332 1.244854 -0.23779609
14 172.32621 31.827041 0.73660311 0.53400683 -0.031449692 25 0 516 1.2339631 -0.22825544
15 159.36871 36.058844 0.69981828 0.23595739 0.043322798 25 0 686 1.7073064 -0.58077868
16 232.46388 37.139687 0.69919136 -0.12157519 -0.071038832 25 0 1307 3.2357874 -1.2749499
17 251.82393 37.852181 0.73719916 0.0075429409 0.051511129 25 0 3004 7.3907513 -2.1717215
18 392.61401 38.736015 0.59242093 0.030541134 0.06119611 25 0 433 1.2726753 -0.26179401
19 112.17764 40.591456 0.60024321 0.36238623 0.45607615 25 0 532 1.5136703 -0.4500782
20 370.34043 39.806862 0.34310419 -0.1627279 0.17111637 25 0 58760 197.12023 -5.736828
21 157.13359 42.219418 0.69849516 0.15746034 0.11304932 25 0 6161 15.648061 -2.9861513
22 446.04303 43.133217 0.72490056 0.17131034 0.1161875 25 0 1255 3.3611655 -1.3162248
23 339.96841 50.207432 0.70623927 0.13897415 0.11218066 25 0 1991 5.0438522 -1.7569059
24 188.0329 55.261249 0.57886029 0.084626638 0.35416631 25 0 410 1.2032095 -0.20085317
25 489.04043 56.715199 0.73793166 0.02016575 0.10543031 25 0 1818 4.7420667 -1.6899191
26 43.507434 61.247829 0.66476452 -0.26544108 -0.065794244 25 0 398 1.1210682 -0.12408013
27 395.05703 61.252762 0.63539181 0.41679499 0.43475637 25 0 323 1.0319705 -0.034168194
28 77.085313 63.305012 0.60690037 0.27426099 0.14716921 25 0 657 1.8752279 -0.68263516
29 100.39895 63.016377 0.69750337 0.19921784 0.045534842 25 0 492 1.2138319 -0.21039633
30 478.66449 63.64471 0.67832908 0.29041372 0.11465032 25 0 1642 4.4424277 -1.6190509
31 43.589099 65.271431 0.80431738 -0.38268386 -0.055163824 25 0 504 1.1794018 -0.17915448
32 158.20636 65.031349 0.70797556 0.0074915236 -0.032899434 25 0 498 1.1230824 -0.12602903
33 463.94508 65.431247 0.65638136 0.15351629 0.18602872 25 0 634 1.8838375 -0.68760857
34 101.44129 68.235345 0.67571128 -0.25767469 -0.056140724 25 0 1649 4.1474224 -1.5444457
35 7.588205 73.823562 0.68222962 -0.20670599 -0.028306051 25 0 374 1.0570435 -0.060232155
36 396.52389 76.428486 0.5404432 0.51677718 0.03192777 25 0 2792 7.9238411 -2.2473394
37 0.85113208 76.454732 0.68527666 0.41360439 0.24787389 25 0 761 1.9970178 -0.75095482
38 16.861238 79.381805 0.67326209 -0.05746976 0.19837864 25 0 848 2.2920376 -0.90055435
39 165.52473 80.014755 0.60312841 -0.25107195 -0.18882881 25 0 532 1.3684193 -0.340548
40 137.87527 83.567267 0.62371596 0.73027766 0.3559866 25 0 710 1.9292947 -0.71349645
41 190.22796 83.672711 0.62793463 -0.072468382 0.24526535 25 0 447 1.0217885 -0.023402479
42 200.85419 90.31281 0.71995187 0.057909254 0.17333576 25 0 684 1.6260868 -0.5278593
43 329.4598 90.63841 0.60824797 -0.46530742 0.06211918 25 0 1322 3.4504676 -1.3446949
44 333.42595 92.468974 0.63756241 -0.73253403 0.052448045 25 0 1447 3.5282156 -1.3688878
45 231.68513 93.647677 0.66576823 0.47496726 0.12589641 25 0 1893 4.6649109 -1.6721084
46 497.43953 97.065764 0.56503902 0.16083549 -0.30183911 25 0 332 1.2283757 -0.22332808
47 99.419619 98.022867 0.64212854 -0.20589397 -0.090511589 25 0 3406 8.7096033 -2.3499959
48 378.12619 108.76513 0.75693352 0.24150139 0.046308004 25 0 808 1.8530299 -0.66970608
49 264.74368 110.9496 0.72592722 0.082724171 0.061970586 25 0 21356 52.789876 -4.3063766
50 282.18018 110.99627 0.68486585 0.099317386 0.040894358 25 0 1334 3.2114374 -1.2667486
51 292.20379 112.377 0.67376754 0.16505146 0.084053466 25 0 2082 5.1755028 -1.7848814
52 348.88012 111.91098 0.75161203 0.12204701 0.086731123 25 0 1631 3.7885352 -1.4461783
53 494.07543 113.39687 0.65833577 0.34940946 0.51389891 25 0 445 1.3784121 -0.34844768
54 143.78154 114.64315 0.66018121 -0.44223086 0.46156034 25 0 603 1.4088176 -0.37213693
55 244.36389 114.0937 0.52519904 0.63143796 0.01106248 25 0 499 1.2417831 -0.23511435
56 198.85014 115.49751 0.76933276 -0.4286112 -0.17515947 25 0 606 1.3853258 -0.35387978
57 96.504122 116.27482 0.63053163 -0.32355605 -0.088621283 25 0 592 1.5206367 -0.45506367
58 196.14329 117.62112 0.70773933 0.019080238 0.15665538 25 0 2414 5.7647579 -1.9019527
59 28.731607 119.5142 0.69118547 0.4853638 0.30072992 25 0 552 1.4432522 -0.39835555
60 220.09631 123.0764 0.73530623 0.094785985 0.0865693 25 0 2370 5.6562899 -1.8813291
61 51.383937 124.86644 0.70108808 -0.17889265 0.065237081 25 0 1411 3.4613132 -1.3481022
62 23.664685 125.65729 0.52548642 0.77142479 0.29186751 25 0 353 1.0767053 -0.080242146
63 297.49674 126.25889 0.65097694 0.093410236 -0.12490941 25 0 551 1.2071789 -0.20442911
64 440.10643 134.17545 0.7001696 0.1681757 0.099934974 25 0 14752 37.340933 -3.9304629
65 342.92566 139.9733 0.73903165 0.13354901 0.084174406 25 0 4088 9.8829128 -2.4872124
66 58.755664 141.16965 0.77683423 0.025590347 0.10635992 25 0 991 2.2081473 -0.8600701
67 41.809234 145.28077 0.69821253 -0.030121791 -0.016532248 25 0 721 1.8511584 -0.66860893
68 141.62711 154.55182 0.60569742 0.69495062 0.030955404 25 0 464 1.0853176 -0.088892101
69 430.03568 155.75126 0.69411952 0.11216793 0.13763985 25 0 59460 150.24764 -5.4420191
70 469.28379 159.17174 0.64773345 0.48701878 0.1447902 25 0 569 1.5935905 -0.50594183
71 250.69845 159.94745 0.55381515 0.055035458 -0.10255636 25 0 559 1.4434035 -0.39846938
72 197.42522 163.52313 0.59698494 0.65532249 -0.01676518 25 0 655 1.5206895 -0.4551014
73 270.05942 168.38777 0.69549805 0.23841228 0.19182273 25 0 2196 5.2944732 -1.8095569
74 390.3278 167.99959 0.53274635 -0.68284021 -0.31672693 25 0 463 1.3143176 -0.29675083
75 208.22797 169.15473 0.72773747 0.096923407 0.15108766 25 0 1233 2.7810091 -1.110506
76 457.58777 170.23385 0.70764731 -0.26133799 0.11579441 25 0 409 1.0809017 -0.084465482
77 196.70249 171.85889 0.68458489 0.12059407 -0.047458484 25 0 1934 4.6883373 -1.6775471
78 0.17619121 176.43908 0.88945067 0.56096135 0.55399197 25 0 687 1.477949 -0.42414862
79 465.23913 176.78904 0.6947363 -0.069071886 0.040970735 25 0 3142 7.9801704 -2.2550304
80 60.868625 177.93429 0.74620658 0.14251994 -0.071047945 25 0 1033 2.421507 -0.9602143
81 158.96569 177.91821 0.75901844 0.3206603 0.14729766 25 0 2423 5.583387 -1.8672443
82 455.17997 179.0244 0.74805869 -0.18037208 -0.022061694 25 0 757 1.9406865 -0.71988845
83 270.8102 180.55825 0.63166042 0.1785336 0.17187988 25 0 1250 3.1323961 -1.2396917
84 465.67903 181.79263 0.70102183 -0.14800682 0.075814575 25 0 968 2.4876738 -0.98948358
85 233.36187 183.34788 0.65514835 0.30138497 0.076885383 25 0 818 1.8619159 -0.67490018
86 115.58545 184.56431 0.64759105 -0.43050354 0.16661445 25 0 36850 92.67129 -4.917363
87 165.28909 185.59068 0.75268651 -0.19695942 -0.043553225 25 0 563 1.1046435 -0.10805536
88 464.87337 189.78505 0.61304928 0.40069884 0.20840083 25 0 425 1.3145227 -0.29692021
89 499.06153 193.58375 0.69254392 -0.1706875 0.16132322 25 0 612 1.622448 -0.52542698
90 212.20649 196.3133 0.74181139 0.25119599 0.2180627 25 0 795 1.7331127 -0.59706699
91 450.03761 197.94376 0.72406698 0.0048387242 -0.038289242 25 0 383 1.0487091 -0.051637591
92 110.67849 198.47878 0.53236181 0.80504284 0.320778 25 0 558 1.4462017 -0.40057217
93 8.8075134 206.40719 0.65727469 0.4309637 0.29267212 25 0 1988 5.0659096 -1.7616436
94 58.756454 209.10577 0.79490855 0.30067387 -0.12085374 25 0 642 1.3288596 -0.30869777
95 469.69039 209.66408 0.64212 0.34851285 0.069995239 25 0 1022 2.7288606 -1.0899534
96 31.955462 211.07515 0.75779261 0.17914587 0.11254181 25 0 2478 5.9150961 -1.9299045
97 370.54475 211.93472 0.62060572 -0.15747503 -0.17030543 25 0 1529 3.9815817 -1.5001391
