id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
1 304.18252 2.6697765 0.54232016 0.11021134 -0.070802222 25 0 651 2.1637817 -0.83803363
2 313.1595 5.2299745 0.50212578 0.45302992 -0.099757426 25 0 271 1.1399069 -0.14217348
3 435.65451 6.0681802 0.6811879 0.20658945 -0.3300158 25 0 378 1.2906031 -0.27698176
4 116.03122 9.9908297 0.75326777 -0.22412048 -0.25625586 25 0 537 1.55623 -0.48018444
5 341.61146 11.364142 0.70613103 0.18361621 -0.33814827 25 0 700 2.0015759 -0.75343013
6 31.194104 12.032663 0.74571504 0.072022048 -0.11787347 25 0 15807 42.005213 -4.058258
7 474.1787 14.370748 0.69590544 0.43917017 0.0051702128 25 0 25729 69.777381 -4.6092867
8 415.09435 14.275829 0.69508465 0.072871158 0.26819943 25 0 568 1.8095395 -0.64392016
9 360.82214 32.846019 0.60389486 0.036916512 -0.0432158 25 0 554 1.8986089 -0.69608879
10 460.45572 32.960948 0.56349449 0.070227575 -0.17559879 25 0 281 1.3057769 -0.28967249
11 133.55522 35.608888 0.45256758 0.37093637 -0.023003718 25 0 292 1.1374158 -0.13979818
12 120.59777 39.457508 0.47546805 -0.26828186 -0.12908147 25 0 402 1.4056498 -0.36969286
13 193.49345 40.673915 0.63488817 -0.15776372 -0.11851657 25 0 1040 2.9123736 -1.1606177
14 212.80266 41.460401 0.57987791 0.46260202 0.0249554 25 0 1885 5.501731 -1.8512484
15 331.29028 43.654051 0.43986546 0.51576283 -0.031667369 25 0 58995 184.40288 -5.6644192
16 353.45891 42.629434 0.69973005 0.15140694 -0.02430626 25 0 441 1.2254165 -0.22070933
17 73.18666 43.884351 0.73398283 -0.25252325 -0.20285832 25 0 552 1.5850838 -0.50013057
18 118.19081 45.858155 0.65979512 0.061966459 -0.11711244 25 0 5029 14.233073 -2.8832467
19 406.89527 47.177647 0.67362142 0.44776395 -0.060563428 25 0 1050 3.2265383 -1.2718421
20 253.65849 52.628946 0.55681444 0.097108159 -0.10030659 25 0 402 1.2612292 -0.251985
21 477.31808 53.173183 0.66685279 0.16139951 -0.15762703 25 0 690 2.2531417 -0.88197124
22 301.01044 54.043741 0.66386068 0.14457339 -0.17903833 25 0 1730 4.9490718 -1.7363094
23 149.18441 58.81675 0.59781482 0.087480622 -0.12091401 25 0 348 1.0951379 -0.098672019
24 449.97554 60.792626 0.66799984 0.29368807 -0.020931823 25 0 1429 4.2076186 -1.5600909
25 508.56979 63.053134 0.70608652 0.15656799 -0.212105 25 0 3071 8.5311175 -2.3275148
26 61.306625 66.602741 0.47602897 0.59581603 0.32980406 25 0 326 1.2133642 -0.20997793
27 38.133097 66.861662 0.70182492 0.0071006844 -0.14329663 25 0 697 2.0273015 -0.76729584
28 176.69525 67.182456 0.56154234 -0.10687929 -0.69838685 25 0 345 1.029662 -0.03173668
29 439.53225 67.644052 0.63295081 0.4701831 -0.038509231 25 0 1315 3.858574 -1.4660671
30 478.32711 68.353903 0.63446521 0.81252615 -0.019938647 25 0 285 1.1856611 -0.18490142
31 4.7276626 68.644301 0.55731626 -0.53635189 -0.20145115 25 0 288 1.1520238 -0.15365359
32 424.78947 69.228892 0.64477419 -0.05029398 -0.051329435 25 0 565 1.7604871 -0.61408212
33 62.452041 71.731552 0.58958572 0.44168439 -0.19478919 25 0 1353 4.1522541 -1.5457098
