id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
1 324.37695 5.0054413 0.62898407 0.09521601 -0.32092869 25 0 290.79054 1.2355256 -0.22962938
2 296.88104 7.5675431 0.56554562 0.41203715 -0.0060457263 25 0 630.85539 2.5128151 -1.0004013
3 305.85222 9.9497092 0.65627265 0.0993785 -0.093343306 25 0 350.88121 1.2998196 -0.28470772
4 428.29367 10.883091 0.69113677 -0.030549917 -0.32478289 25 0 540.41733 1.9961906 -0.75050499
5 108.78346 14.730605 0.64964295 -0.22253052 -0.23977439 25 0 553.3065 2.0436046 -0.7759922
6 334.29946 16.233199 0.65230222 0.3280947 -0.2510399 25 0 835.68399 3.2057542 -1.2648255
7 23.91686 16.84359 0.73772397 -0.0027212601 -0.13466902 25 0 18254.931 60.654697 -4.4571611
8 407.85816 19.344991 0.6637972 -0.0046161385 -0.25130888 25 0 837.18491 2.9579839 -1.1774895
9 466.95628 19.267432 0.68386869 0.059311181 -0.1263174 25 0 30581.097 104.94587 -5.0524134
10 425.00691 20.952132 0.56427918 0.54134806 -0.057438895 25 0 330.59196 1.6033224 -0.51255213
11 212.32666 34.522474 0.4193915 -0.36618404 -0.16128458 25 0 232.00488 1.1349716 -0.13746246
12 424.58639 37.212107 0.55644383 0.071453548 -0.21515214 25 0 219.70472 1.134508 -0.13701895
13 353.53986 37.689579 0.52990265 -0.019598561 -0.30699447 25 0 451.13786 1.8455093 -0.66529059
14 453.43329 37.945118 0.75351658 -0.42074123 -0.1882511 25 0 495.9653 1.7282477 -0.59401495
15 126.17621 40.283382 0.72258543 0.078232333 -0.15198132 25 0 472.51289 1.5775394 -0.49495055
16 113.15845 44.361429 0.53723346 0.29127421 0.039805367 25 0 496.08091 2.0189184 -0.76279693
17 186.00832 45.688616 0.50100591 0.22319881 0.03665521 25 0 936.59183 3.8790857 -1.4718234
18 205.53065 46.385368 0.68336883 0.40739926 -0.24214946 25 0 2291.6227 7.4365848 -2.1784338
19 324.02559 48.568652 0.36093812 0.043111516 -0.19015812 25 0 58706.313 243.84011 -5.9677629
20 346.2501 47.480289 0.5452689 0.038955579 -0.072177553 25 0 431.9849 1.8503456 -0.66813215
