id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
1 343.70622 0.081434228 0.89031145 -0.29713121 -0.2619835 25 0 601.74614 2.2141201 -0.86300292
2 352.86581 1.6445031 0.67737432 0.42083408 0.18289315 25 0 393.78924 1.6219311 -0.525081
3 475.20581 2.2302957 0.73381606 0.24791567 0.11081682 25 0 606.32737 2.2027883 -0.85743188
4 1.7000955 7.3701574 0.65319509 0.10757357 0.12178385 25 0 941.0302 3.9806516 -1.4998854
5 155.73021 7.0283174 0.72787612 0.27742684 0.07712332 25 0 645.07847 2.6016323 -1.0381148
6 9.9126035 7.5090046 0.58995559 0.31021326 0.11143237 25 0 461.65177 2.11695 -0.81427651
7 381.38368 7.909028 0.60442075 -0.38052393 -0.18694505 25 0 802.09645 3.5419828 -1.3731161
8 70.784524 9.04281 0.74737078 -0.038434961 0.039049746 25 0 18236.498 73.077955 -4.659466
9 18.228982 10.677589 0.74272481 -0.12014153 0.11053898 25 0 6462.227 25.519819 -3.517194
10 454.79877 10.960088 0.65913743 -0.079350037 0.13036736 25 0 891.66866 3.9315064 -1.4863975
11 0.40177147 12.276606 0.69968374 0.10045559 0.16991851 25 0 3754.4784 15.552762 -2.9795188
12 471.90387 12.170784 0.60497408 0.33456074 0.62462746 25 0 294.64687 1.3689571 -0.34097461
13 498.05095 13.250632 0.76627675 0.053259486 0.098705924 25 0 245.49692 1.1310177 -0.13367348
14 58.794104 14.088167 0.47849263 0.22784656 0.37482174 25 0 161.54632 1.1027022 -0.10614562
15 380.43577 16.41648 0.55628934 -0.97519635 0.24391451 25 0 265.40803 1.1958957 -0.19423326
16 381.803 21.904277 0.73790216 -0.06469456 0.55658798 25 0 303.12482 1.2602168 -0.25111312
17 23.707741 22.730565 0.75364924 0.25521723 0.26302011 25 0 374.99983 1.6113064 -0.51794535
18 259.37449 26.068974 0.67440864 0.087636502 -0.046948506 25 0 380.50078 1.5463203 -0.47324867
19 400.55216 29.299472 0.71124072 -0.58773672 -0.12708654 25 0 699.84569 2.8018902 -1.1186278
20 471.22891 28.800844 0.7469433 0.21449869 0.052090099 25 0 272.1578 1.1288878 -0.13162697
21 500.2607 29.493163 0.65548041 0.21147783 -0.0040416609 25 0 419.47848 1.8148593 -0.6471074
22 173.1859 32.301644 0.5910696 -0.11256694 -0.0065343498 25 0 506.39846 2.4503434 -0.97306736
23 159.98477 36.563905 0.58631528 -0.013603984 0.23614684 25 0 587.64149 2.72938 -1.09016
24 144.81026 36.578539 0.53985728 0.27586619 -0.16020832 25 0 209.59961 1.1326004 -0.13519181
25 233.01813 37.418748 0.70247052 -0.0004720229 0.26489646 25 0 1313.0973 5.27236 -1.8050126
26 252.57228 38.342106 0.55164862 0.44967258 -0.080544241 25 0 2006.7696 9.2912007 -2.4201796
27 465.47873 38.015524 0.64021268 -0.21848626 -0.18626355 25 0 371.49492 1.7118923 -0.58369108
28 393.05697 39.210009 0.68518832 0.043621027 0.064763451 25 0 555.59143 2.2170314 -0.86442962
29 370.99728 40.180392 0.29043973 0.00013855643 0.034024179 25 0 59291.313 354.78399 -6.37491
30 436.55773 39.770805 0.68476047 0.01340938 -0.19784172 25 0 371.74733 1.678025 -0.56199609
31 112.83846 40.845613 0.70268894 0.12465969 0.025642035 25 0 626.98899 2.6016415 -1.0381186
