,file_name,x_off_pix,error_pix,y_off_pix
0,V1432_Aql-0001.fit,0.0,8.093402155637902e-08,0.0
1,V1432_Aql-0002.fit,-0.06,0.020467132259233495,-0.01
2,V1432_Aql-0003.fit,0.07,0.021749005750291078,0.11
3,V1432_Aql-0004.fit,0.1,0.022147455319365305,-0.07
4,V1432_Aql-0005.fit,0.46,0.038324186921875926,0.35
5,V1432_Aql-0006.fit,0.3,0.03821738419219633,0.41
6,V1432_Aql-0007.fit,0.36,0.03878304441906941,0.48
7,V1432_Aql-0008.fit,0.4,0.03994891224179881,0.45
8,V1432_Aql-0009.fit,0.5,0.037934662714122054,0.78
9,V1432_Aql-0010.fit,0.52,0.03854761623410932,1.0
10,V1432_Aql-0011.fit,0.6699999999999999,0.0370829691464772,1.23
11,V1432_Aql-0012.fit,0.73,0.036005200578401286,1.17
12,V1432_Aql-0013.fit,0.84,0.03480089529675291,1.35
13,V1432_Aql-0014.fit,0.85,0.03516975217016258,1.47
14,V1432_Aql-0015.fit,0.92,0.03525098525497983,1.63
15,V1432_Aql-0016.fit,0.81,0.0371445665224157,1.58
16,V1432_Aql-0017.fit,0.94,0.034832202215298744,1.6400000000000001
17,V1432_Aql-0018.fit,0.85,0.036133952136826394,1.71
18,V1432_Aql-0019.fit,0.92,0.03533760350713552,1.69
19,V1432_Aql-0020.fit,0.85,0.03691002962018074,1.6099999999999999
20,V1432_Aql-0021.fit,1.02,0.0338698551538188,1.78
21,V1432_Aql-0022.fit,0.53,0.038640659918900484,2.2
22,V1432_Aql-0023.fit,0.7,0.04138897640860733,2.01
23,V1432_Aql-0024.fit,1.06,0.0337335508663986,1.69
24,V1432_Aql-0025.fit,1.03,0.02985752059583435,1.99
25,V1432_Aql-0026.fit,0.53,0.03871057064751153,2.43
26,V1432_Aql-0027.fit,0.72,0.03696520851314372,2.25
27,V1432_Aql-0028.fit,1.19,0.03385723053907721,1.84
28,V1432_Aql-0029.fit,1.03,0.029625639946053682,1.99
29,V1432_Aql-0030.fit,1.06,0.03129001916271025,1.9
30,V1432_Aql-0031.fit,1.07,0.03040007145968862,1.94
31,V1432_Aql-0032.fit,1.21,0.03316251709241788,2.02
32,V1432_Aql-0033.fit,1.22,0.033274874875417554,2.02
33,V1432_Aql-0034.fit,1.25,0.03432449894029159,1.96
34,V1432_Aql-0035.fit,1.47,0.039465036718219854,2.16
35,V1432_Aql-0036.fit,1.48,0.040671698270924435,1.96
36,V1432_Aql-0037.fit,1.56,0.040137343883538776,2.03
37,V1432_Aql-0038.fit,1.72,0.039010925603324205,2.25
38,V1432_Aql-0039.fit,1.48,0.0446922743322688,2.44
39,V1432_Aql-0040.fit,1.73,0.04045847674869445,2.13
40,V1432_Aql-0041.fit,1.92,0.0343097314999356,2.18
41,V1432_Aql-0042.fit,1.83,0.03498955075812239,2.2
42,V1432_Aql-0043.fit,1.59,0.04276129419757717,2.18
43,V1432_Aql-0044.fit,1.66,0.04265442339418226,2.39
44,V1432_Aql-0045.fit,1.8,0.03787991334111586,2.48
45,V1432_Aql-0046.fit,1.9,0.03458320702034794,2.15
46,V1432_Aql-0047.fit,1.88,0.03436082107321303,2.12
47,V1432_Aql-0048.fit,1.96,0.030089437227806486,2.02
48,V1432_Aql-0049.fit,1.91,0.03208829885092234,2.02
49,V1432_Aql-0050.fit,1.97,0.036667212945162446,2.22
50,V1432_Aql-0051.fit,2.05,0.03850574970236136,2.48
51,V1432_Aql-0052.fit,1.96,0.03735834517696937,2.31
52,V1432_Aql-0053.fit,2.01,0.03569909254570461,2.19
53,V1432_Aql-0054.fit,1.97,0.03398890644017727,2.15
54,V1432_Aql-0055.fit,2.08,0.03368365215300248,2.13
55,V1432_Aql-0056.fit,2.23,0.03610106042579668,2.15
56,V1432_Aql-0057.fit,2.3,0.03858495229467734,2.18
57,V1432_Aql-0058.fit,2.39,0.040410640018253174,2.23
58,V1432_Aql-0059.fit,2.45,0.04080372492331585,2.15
59,V1432_Aql-0060.fit,2.59,0.043013632998091064,2.2800000000000002
60,V1432_Aql-0061.fit,2.69,0.0407875183150119,2.13
61,V1432_Aql-0062.fit,2.56,0.04239187072629043,2.1
62,V1432_Aql-0063.fit,2.62,0.04378388271376698,2.46
63,V1432_Aql-0064.fit,2.61,0.04281364435916296,2.31
64,V1432_Aql-0065.fit,2.62,0.04291140997968879,2.36
65,V1432_Aql-0066.fit,2.37,0.04100180275126234,2.2800000000000002
66,V1432_Aql-0067.fit,2.34,0.03998807893684754,2.13
67,V1432_Aql-0068.fit,2.51,0.043486446251654085,2.26
68,V1432_Aql-0069.fit,2.7199999999999998,0.039084923099150425,2.5
69,V1432_Aql-0070.fit,2.74,0.03945839783175479,2.43
70,V1432_Aql-0071.fit,2.86,0.03585305128945094,2.16
71,V1432_Aql-0072.fit,2.97,0.034063531509569554,2.14
72,V1432_Aql-0073.fit,2.93,0.03401807210353228,2.09
73,V1432_Aql-0074.fit,2.93,0.034964323498507505,2.17
74,V1432_Aql-0075.fit,3.08,0.036430160761668266,2.2
75,V1432_Aql-0076.fit,3.11,0.038682222086421046,2.4
76,V1432_Aql-0077.fit,3.16,0.03726401739923025,2.19
77,V1432_Aql-0078.fit,3.11,0.033631238541901615,2.06
78,V1432_Aql-0079.fit,3.19,0.035399551984389,2.1
79,V1432_Aql-0080.fit,3.36,0.03650874649625298,2.06
80,V1432_Aql-0081.fit,3.26,0.035528270111805545,1.97
81,V1432_Aql-0082.fit,3.44,0.04117574071351741,2.09
82,V1432_Aql-0083.fit,3.41,0.04246934878823046,2.22
83,V1432_Aql-0084.fit,3.38,0.043462131526563745,2.33
84,V1432_Aql-0085.fit,3.33,0.04349509213990355,2.33
85,V1432_Aql-0086.fit,3.25,0.03911409676328237,2.18
86,V1432_Aql-0087.fit,3.32,0.040305370726618744,2.15
87,V1432_Aql-0088.fit,3.46,0.0413320032976965,2.19
88,V1432_Aql-0089.fit,3.51,0.04204420211805259,2.14
89,V1432_Aql-0090.fit,3.51,0.04187862961891159,2.09
90,V1432_Aql-0091.fit,3.65,0.04397385947307974,1.98
91,V1432_Aql-0092.fit,3.64,0.04152745433419127,1.82
