id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
1 274.34542 14.314567 0.54625852 0.3052108 -0.042183317 25 0 477 1.4563871 -0.40819208
2 1.4036967 23.21199 0.65986428 -0.58813983 -0.31836551 25 0 10716 23.106172 -3.40932
3 311.78151 23.072399 0.61866989 0.10888093 -0.26751577 25 0 597 1.6094522 -0.51669523
4 384.74129 26.304883 0.59743639 0.097410022 -0.17505966 25 0 381 1.162794 -0.163757
5 443.89006 26.291405 0.65116536 -0.18054604 -0.11326201 25 0 19721 42.521992 -4.071534
6 163.24626 52.072272 0.58758585 0.016341826 -0.1700287 25 0 884 2.0685998 -0.78919117
7 182.82937 52.999818 0.68621164 -0.01743005 -0.1743721 25 0 2033 4.3074975 -1.5855626
8 43.357536 55.094467 0.6718257 -0.32159571 -0.22360502 25 0 380 1.0361592 -0.038566225
9 301.49014 55.310647 0.4039092 -0.45781479 -0.24728372 25 0 57995 138.67198 -5.3549718
10 88.246925 57.120231 0.66822347 -0.17420855 -0.20244198 25 0 3990 8.4756819 -2.3204366
11 376.58311 58.929631 0.59139163 -0.2180282 -0.4722756 25 0 633 1.6363704 -0.53470406
12 447.08613 65.014137 0.58053244 -0.41832067 -0.43026364 25 0 468 1.4371266 -0.39373755
13 271.17222 65.755835 0.66549273 -0.36755537 -0.11386804 25 0 1306 2.834682 -1.1312609
14 419.48006 72.559825 0.58734241 0.33254974 -0.17501203 25 0 833 2.0570748 -0.78312523
15 478.08018 75.029522 0.68057348 0.0445091 -0.094651172 25 0 2755 6.2065047 -1.9821177
16 8.4977142 78.223544 0.63771221 -0.44692173 -0.2697248 25 0 403 1.106958 -0.11032787
17 409.12924 79.523981 0.6747963 0.22007266 0.080737997 25 0 1195 2.7107851 -1.0827377
18 32.65579 83.019361 0.65846206 -0.20528715 -0.20363721 25 0 1265 2.8901602 -1.1523048
19 445.08828 88.097147 0.57600654 0.14128492 -0.13198477 25 0 551 1.45034 -0.40367454
20 327.35615 92.043585 0.62005468 -0.21389915 -0.27911624 25 0 2525 5.7831789 -1.9054166
21 467.46398 99.109605 0.63254178 -0.08445881 -0.25755748 25 0 15330 32.903066 -3.7930909
22 260.56219 106.29402 0.61674674 -0.026878447 -0.37920249 25 0 930 2.0507728 -0.77979386
23 264.35408 107.95138 0.59646483 -0.42621712 -0.51026242 25 0 1068 2.3126772 -0.91028753
24 162.7124 108.89907 0.59777334 0.050792524 -0.27163987 25 0 1298 2.8019337 -1.1186446
25 30.438785 112.86305 0.61608896 -0.21434612 -0.36033995 25 0 2588 5.653345 -1.8807637
26 485.44553 115.63419 0.62625452 -0.2618936 -0.11143669 25 0 1324 3.1142818 -1.2333948
27 465.71607 119.07778 0.67513118 -0.1581745 -0.1680046 25 0 1656 3.660906 -1.4089715
28 195.81741 126.12191 0.66464917 -0.25536948 -0.19587109 25 0 14708 31.315036 -3.7393823
29 213.23375 126.27333 0.62679661 0.49293753 -0.077535783 25 0 838 1.6367621 -0.53496388
30 223.30242 127.64796 0.59905765 -0.56851688 -0.18568627 25 0 1315 2.7075147 -1.0814271
31 279.85427 127.39103 0.53342494 -0.10417793 0.022240523 25 0 797 1.8331618 -0.65800201
32 27.675725 131.01281 0.63269929 0.3894849 -0.12994284 25 0 457 1.1222255 -0.12520032
33 126.93833 132.75407 0.59444266 -0.37166338 -0.18377234 25 0 1640 3.645316 -1.4043379
34 493.94219 134.5169 0.60629262 -0.10673504 -0.028340142 25 0 1234 3.0170708 -1.1989637
35 151.01167 138.31273 0.64791153 -0.14197811 0.004341769 25 0 1391 2.8088708 -1.1213294
36 370.49249 150.08692 0.60185378 -0.16331157 -0.28384283 25 0 8502 18.570339 -3.1720496
37 273.78672 155.64441 0.58607748 -0.33879982 0.0034406311 25 0 2106 4.5460147 -1.6440771
38 458.59602 162.12686 0.64829312 -0.30759461 -0.20114465 25 0 5729 12.51603 -2.7436664
39 360.433 171.53091 0.56923631 -0.61551278 -0.17720194 25 0 30937 66.847541 -4.5627136
40 452.71117 183.53583 0.59557618 -0.38024397 0.023755434 25 0 4245 9.4654638 -2.4403547
41 138.98085 184.2047 0.6212612 0.029623375 -0.15640971 25 0 779 1.5503155 -0.47605021
42 200.95215 183.72437 0.64375536 -0.21402808 -0.21668583 25 0 1560 3.0885603 -1.2243902
43 127.44813 186.95536 0.59074181 -0.21198059 -0.32184956 25 0 1262 2.7210062 -1.0868238
44 89.815832 192.77503 0.59646576 0.16312824 -0.017257276 25 0 1420 3.0299337 -1.2035828
45 395.46764 192.63033 0.5575087 0.048987168 -0.26853958 25 0 1607 3.6287496 -1.3993925
46 457.23741 194.69061 0.57584974 -0.76710768 -0.20286373 25 0 414 1.0345134 -0.036840339
47 201.83754 196.02797 0.72422959 0.037177918 -0.21341523 25 0 1120 2.0481114 -0.77838396
48 163.99818 198.47856 0.51480912 -0.11177189 0.16289622 25 0 574 1.1390559 -0.14136256
49 395.83689 197.67465 0.55979901 -0.14274339 -0.25334743 25 0 565 1.441212 -0.39681965
50 46.485254 199.18263 0.62895278 -0.46419205 -0.31275758 25 0 29168 62.827591 -4.495376
51 483.37028 213.27408 0.48656274 -0.57158321 0.24005037 25 0 799 2.2241753 -0.86792256
52 477.27776 219.54775 0.61650596 -0.33954249 -0.044545228 25 0 2119 4.769396 -1.6961585
53 399.93988 225.55962 0.52324901 -0.12729171 -0.044699457 25 0 623 1.5204307 -0.45491659
